X,Y,CU,AU
40.00,71.00,0.762,0.0011
21.00,69.00,2.843,0.0078
28.00,80.00,6.068,0.1053
29.00,59.00,7.727,1.5127
41.00,81.00,2.695,0.0098
18.00,80.00,10.367,0.8604
39.00,60.00,2.386,0.0127
18.00,60.00,5.194,0.1771
41.00,90.00,4.149,0.0234
21.00,90.00,6.014,0.1731
31.00,101.00,5.792,0.2965
41.00,100.00,6.014,0.3006
21.00,100.00,5.946,0.2297
60.00,8.00,5.501,0.2583
40.00,11.00,0.994,0.0022
51.00,18.00,2.336,0.0142
59.00,20.00,0.144,0.0001
41.00,21.00,1.159,0.0031
59.00,90.00,5.062,0.1269
51.00,101.00,5.024,0.0738
50.00,81.00,6.08,0.2107
59.00,101.00,3.639,0.0304
60.00,81.00,3.856,0.0503
60.00,151.00,15.211,3.6918
38.00,148.00,3.409,0.05
50.00,160.00,8.791,0.4742
50.00,138.00,4.134,0.083
61.00,158.00,8.689,0.9838
39.00,160.00,6.574,0.2178
61.00,139.00,4.77,0.0715
38.00,140.00,2.685,0.0262
61.00,170.00,8.064,0.3011
39.00,170.00,9.144,1.5485
49.00,179.00,8.115,0.2349
58.00,179.00,11.136,2.1547
39.00,181.00,10.08,3.6374
60.00,191.00,15.281,1.9309
40.00,190.00,9.709,1.3911
51.00,198.00,11.09,1.6608
60.00,198.00,12.039,1.8137
40.00,200.00,6.413,0.2491
58.00,208.00,7.206,1.1601
38.00,209.00,6.653,0.5478
50.00,221.00,5.433,1.0666
61.00,220.00,1.011,0.0595
39.00,221.00,6.159,0.4209
59.00,268.00,5.431,1.7142
41.00,271.00,8.688,0.8287
49.00,278.00,5.83,1.7888
51.00,260.00,6.707,3.7389
59.00,281.00,1.488,0.675
39.00,279.00,7.98,1.1821
59.00,258.00,1.949,0.9833
38.00,260.00,6.352,0.7666
78.00,28.00,7.816,0.5654
60.00,29.00,2.386,0.0127
70.00,41.00,4.72,0.0849
70.00,21.00,0.581,0.0003
78.00,41.00,6.003,0.1246
61.00,41.00,0.649,0.0008
78.00,20.00,5.059,0.07
80.00,131.00,8.016,0.4211
58.00,128.00,1.588,0.0043
71.00,140.00,6.063,0.1751
79.00,138.00,7.301,1.6945
80.00,119.00,4.212,0.0351
61.00,121.00,1.048,0.0018
71.00,160.00,8.011,2.535
78.00,159.00,7.42,3.3715
80.00,168.00,6.891,0.6346
69.00,181.00,4.246,0.7626
79.00,181.00,1.843,0.2417
80.00,188.00,2.452,0.4311
70.00,198.00,6.3,1.9921
80.00,49.00,7.574,0.4738
90.00,58.00,7.398,0.2802
88.00,39.00,5.207,0.0768
101.00,38.00,7.305,0.464
101.00,68.00,3.831,0.0978
79.00,70.00,5.088,0.1039
90.00,79.00,5.733,0.1383
100.00,78.00,3.724,0.0709
81.00,81.00,5.858,0.1972
100.00,91.00,3.972,0.0389
80.00,89.00,6.145,0.1923
91.00,99.00,7.349,0.1596
